distance from border (m);radius (mm);Average;Avg.Dev.;Std.Dev.;Std.Var.;Skewness;Kurtosis;;trapezoid;Re;f;;intermediate;U;y(m);;;;
0,043;0;3,050280571;0,051754061;0,064796381;0,004198571;0,430310309;1,231947303;;;43880,86216;5,53E-03;;;;;;;;
0,041;2;9,037312508;0,383883923;0,540032685;0,291635305;-0,08997982;4,292080402;;0,017922313;;;;0,271;0,47509986;0,041;;;;
0,039;4;8,885;0,385;0,533;0,284;0,062;3,454;;0,01775;;;;0,262;0,46709265;0,039;;;;
0,037;6;8,865;0,36;0,504;0,254;0,255;4,075;;0,017749;;;;0,261;0,466041232;0,037;;;;
0,035;8;8,884;0,29;0,394;0,155;0,441;4,844;;0,017727;;;;0,262;0,467040079;0,035;;;;
0,033;10;8,843;0,399;0,575;0,33;-0,372;5,773;;0,017642;;;;0,259;0,464884672;0,033;;;;
0,031;12;8,799;0,415;0,594;0,353;-0,397;4,923;;0,017528;;;;0,257;0,462571551;0,031;;;;
0,029;14;8,729;0,427;0,596;0,356;-0,459;4,171;;0,017477;;;;0,253;0,458891586;0,029;;;;
0,027;16;8,748;0,336;0,45;0,203;0,176;3,986;;0,017453;;;;0,254;0,459890434;0,027;;;;
0,025;18;8,705;0,36;0,473;0,224;0,029;2,279;;0,017371;;;;0,251;0,457629884;0,025;;;;
0,023;20;8,666;0,366;0,481;0,231;0,027;2,577;;0,017269;;;;0,249;0,455579618;0,023;;;;
0,021;22;8,603;0,375;0,499;0,249;0,048;3,501;;0,017163;;;;0,245;0,45226765;0,021;;;;
0,019;24;8,56;0,411;0,531;0,282;-0,046;2,634;;0,008529;;;;0,243;0,4500071;0,019;;;;
0,018;25;8,498;0,441;0,565;0,32;-0,221;1,086;;0,008505;;;;0,240;0,446747703;0,018;;;;
0,017;26;8,512;0,418;0,537;0,289;-0,009;2,585;;0,008454;;;;0,240;0,447483696;0,017;;;;
0,016;27;8,396;0,442;0,564;0,319;-0,272;1,01;;0,008374;;;;0,234;0,441385469;0,016;;;;
0,015;28;8,352;0,46;0,589;0,347;-0,227;0,976;;0,0083185;;;;0,231;0,439072348;0,015;;;;
0,014;29;8,285;0,469;0,598;0,357;-0,118;0,929;;0,008241;;;;0,228;0,435550097;0,014;;;;
0,013;30;8,197;0,498;0,626;0,392;-0,139;0,667;;0,0081325;;;;0,223;0,430923855;0,013;;;;
0,012;31;8,068;0,49;0,618;0,382;-0,177;0,652;;0,008084;;;;0,216;0,424142206;0,012;;;;
0,011;32;8,1;0,475;0,604;0,365;-0,223;0,66;;0,008024;;;;0,218;0,425824476;0,011;;;;
0,01;33;7,948;0,566;0,71;0,504;-0,285;0,481;;0,007766;;;;0,210;0,417833696;0,01;;;;
0,009;34;7,584;0,572;0,709;0,503;-0,145;0,013;;0,007633;;;;0,191;0,39869788;0,009;;;;
0,008;35;7,682;0,548;0,682;0,465;-0,127;0,208;;0,007593;;;;0,196;0,40384983;0,008;;;;
0,007;36;7,504;0,543;0,684;0,468;-0,106;0,305;;0,007434;;;;0,187;0,394492206;0,007;;;;
0,006;37;7,364;0,551;0,689;0,474;-0,095;0,129;;0,0072375;;;;0,180;0,387132277;0,006;;;;
0,005;38;7,111;0,61;0,754;0,569;-0,054;-0,083;;0,0070555;;;;0,168;0,373831833;0,005;;;;
0,004;39;7;0,587;0,73;0,533;-0,028;-0,042;;0,006838;;;;0,163;0,367996461;0,004;;;;
0,003;40;6,676;0,572;0,711;0,505;-0,021;-0,036;;0,006545;;;;0,148;0,350963482;0,003;;;;
0,002;41;6,414;0,601;0,74;0,548;0,168;-0,24;;0,012433;;;;0,136;0,3371899;0,002;;;;
;;6,019;0,586;0,71;0,505;0,314;-0,387;;0;;;;0,120;0,316424385;0;;;;
;;;;;;;;sum:;0,338248313;;;;;;;;;;
